1.107573938461645e-02,9.796623131587383e-01,2.175819591649839e-02
1.129725417230878e-02,1.027130355496586e+00,2.119034249146391e-02
1.152319925575495e-02,1.041129417007826e+00,1.994807729169922e-02
1.175366324087005e-02,9.892618138433759e-01,1.812233277420201e-02
1.198873650568745e-02,1.004852563009525e+00,1.729467759632549e-02
1.222851123580120e-02,1.015058855701291e+00,1.625723350240429e-02
1.247308146051723e-02,9.746619263102315e-01,1.492317381259652e-02
1.272254308972757e-02,9.972063073161711e-01,1.428226769431281e-02
1.297699395152212e-02,9.820940768138081e-01,1.338637798722516e-02
1.323653383055257e-02,9.899336285250112e-01,1.283574442491305e-02
1.350126450716362e-02,9.691418361165082e-01,1.195004718041685e-02
1.377128979730689e-02,9.908652709723048e-01,1.160621074118920e-02
1.404671559325303e-02,9.718701849650128e-01,1.094253215075242e-02
1.432764990511809e-02,9.465947985241286e-01,1.030653951907754e-02
1.461420290322045e-02,8.724570806588874e-01,9.402645531768516e-03
1.490648696128486e-02,7.344394550023529e-01,8.153177664255344e-03
1.520461670051055e-02,5.672995156987879e-01,6.745248735151064e-03
1.550870903452077e-02,3.846890422550936e-01,5.222146776578355e-03
1.581888321521118e-02,2.782291747137539e-01,4.216047025149597e-03
1.613526087951540e-02,2.084145157734472e-01,3.478118011509916e-03
1.645796609710571e-02,1.740245447244073e-01,3.036146001709915e-03
1.678712541904783e-02,1.362392720872029e-01,2.580545598778558e-03
1.712286792742879e-02,1.148778005214710e-01,2.259115325582266e-03
1.746532528597736e-02,1.061945530266376e-01,2.096250784341461e-03
1.781463179169691e-02,8.617676746460035e-02,1.813928892871091e-03
1.817092442753085e-02,7.763488360223544e-02,1.652287606639559e-03
1.853434291608146e-02,6.476585191303531e-02,1.455735883789400e-03
1.890502977440309e-02,5.640217511926378e-02,1.320520190992967e-03
1.928313036989115e-02,4.924284858580948e-02,1.193529751994683e-03
1.966879297728898e-02,4.495825348576725e-02,1.098426020832753e-03
2.006216883683475e-02,3.760796770563535e-02,9.669126453104881e-04
2.046341221357145e-02,3.616099327133710e-02,8.242333625671694e-04
2.087268045784288e-02,3.162241491734721e-02,7.419799400993696e-04
2.129013406699973e-02,2.738346685009581e-02,6.620116715542254e-04
2.171593674833973e-02,2.418542236589157e-02,5.971062570675664e-04
2.215025548330652e-02,2.215802416465814e-02,5.516196846991628e-04
2.259326059297265e-02,1.873660123914201e-02,4.872643559111168e-04
2.304512580483210e-02,1.764501387186742e-02,4.582348216534446e-04
2.350602832092875e-02,1.538414424780208e-02,4.123888052834433e-04
2.397614888734732e-02,1.347604260254823e-02,3.728027128209217e-04
2.445567186509427e-02,1.290292069672734e-02,3.522262737770397e-04
2.494478530239615e-02,1.114960263267770e-02,3.179039100093941e-04
2.544368100844407e-02,1.021981455884627e-02,2.940010603535090e-04
2.595255462861296e-02,9.656941799605866e-03,2.770132909279870e-04
2.647160572118521e-02,8.633535080523639e-03,2.549046665405792e-04
2.700103783560892e-02,7.415976428772291e-03,2.284627870046214e-04
2.754105859232110e-02,7.043135303144541e-03,2.169691940520018e-04
2.809187976416752e-02,6.835218703571413e-03,2.108721755127289e-04
2.865371735945087e-02,5.827028445750524e-03,1.883988062822790e-04
2.922679170663988e-02,5.333062669820117e-03,1.754281428716478e-04
2.981132754077268e-02,4.514305664595527e-03,1.577020757632345e-04
3.040755409158814e-02,4.672737009606289e-03,1.576029757159557e-04
3.101570517341990e-02,3.782387807647317e-03,1.379055933646485e-04
3.163601927688830e-02,3.477900525381857e-03,1.292910474429791e-04
3.226873966242606e-02,3.297459113582851e-03,1.237651945878834e-04
3.291411445567458e-02,2.854246889604269e-03,1.140437853627645e-04
3.357239674478808e-02,2.827891816046963e-03,1.099191775740342e-04
3.424384467968384e-02,2.568186625484277e-03,1.026393972739115e-04
3.492872157327752e-02,2.207121548939355e-03,9.302821568296294e-05
3.562729600474306e-02,2.202610879368512e-03,9.058582864825081e-05
3.633984192483793e-02,1.893351464196014e-03,8.132874511161633e-05
3.706663876333468e-02,1.692389204835644e-03,7.483498976641489e-05
3.780797153860137e-02,1.547356894125030e-03,6.962592308067971e-05
3.856413096937340e-02,1.414522925717988e-03,6.516539020111471e-05
3.933541358876087e-02,1.342637721044945e-03,6.184794751180269e-05
4.012212186053608e-02,1.214986034458843e-03,5.751510403292743e-05
4.092456429774681e-02,1.197455296932467e-03,5.583497598349574e-05
4.174305558370174e-02,9.614047325898125e-04,4.893627655278518e-05
4.257791669537578e-02,1.005010269452957e-03,4.505858029769056e-05
4.342947502928329e-02,8.161008741900095e-04,3.949496203949556e-05
4.429806452986895e-02,8.629629238463641e-04,3.967587917858773e-05
4.518402582046634e-02,7.568250390257911e-04,3.628301063630679e-05
4.608770633687567e-02,7.514863497158532e-04,3.542100071820939e-05
4.700946046361318e-02,5.889371111930877e-04,3.040188462769776e-05
4.794964967288544e-02,5.987801247325704e-04,2.998674386583931e-05
4.890864266634315e-02,5.564220795741033e-04,2.823757739509501e-05
4.988681551967002e-02,4.052753001478465e-04,2.343799913725704e-05
5.088455183006342e-02,4.699939531243870e-04,2.481111929023156e-05
5.190224286666469e-02,4.216337978821747e-04,2.329423606914523e-05
5.294028772399798e-02,3.169927467801767e-04,1.956895776443058e-05
5.399909347847794e-02,3.493061288807106e-04,2.026547349526752e-05
5.507907534804750e-02,3.202257645053672e-04,1.924289223206866e-05
5.618065685500845e-02,2.926729734612568e-04,1.804666959903505e-05
5.730426999210862e-02,2.714350109488714e-04,1.703521730815291e-05
5.845035539195079e-02,2.298264042996631e-04,1.544491857116054e-05
5.961936249978980e-02,2.283610337098175e-04,1.523257400762277e-05
6.081174974978559e-02,2.289892212203014e-04,1.503118341625486e-05
6.202798474478131e-02,2.170030589972988e-04,1.429142186204289e-05
6.326854443967694e-02,1.855941678846702e-04,1.297802269928641e-05
6.453391532847047e-02,1.695461830527620e-04,1.253709474533263e-05
6.582459363503987e-02,1.302474840445120e-04,1.054235472095998e-05
